1,40,0.6,22,0.4,,
2,35,0.6,17,0.4,,
3,30,0.6,12,0.4,,
4,25,0.6,7,0.4,,
5,20,0.6,2,0.4,,
6,18,0.4,14,0.6,,
7,19.5,0.4,13,0.6,,
8,21,0.4,12,0.6,,
9,24,0.4,10,0.6,,
10,30,0.4,6,0.6,,
11,20,1,0,0,,
12,20,0.97,0,0.03,,
13,20,0.67,0,0.33,,
14,20,0.37,0,0.63,,
15,20,0.07,0,0.93,,
16,22.5,1,0,0,,
17,22.5,0.99,0,0.01,,
18,22.5,0.95,0,0.05,,
19,22.5,0.75,0,0.25,,
20,22.5,0.25,0,0.75,,
21,22.5,0.05,0,0.95,,
22,30,0.8,0,0.2,,
23,30,0.76,0,0.24,,
24,30,0.6,0,0.4,,
25,30,0.2,0,0.8,,
26,30,0.04,0,0.96,,
27,24,0.05,0,0.02,20,0.93
28,24,0.05,0,0.05,20,0.9
29,24,0.05,0,0.35,20,0.6
30,24,0.05,0,0.65,20,0.3
31,24,0.05,0,0.95,20,0
32,20,0,0,0,10,1
33,20,0.08,0,0.02,10,0.9
34,20,0.2,0,0.05,10,0.75
35,20,0.6,0,0.15,10,0.25
36,20,0.8,0,0.2,10,0
37,40,0.6,22,0.4,,
38,35,0.6,17,0.4,,
39,30,0.6,12,0.4,,
40,25,0.6,7,0.4,,
41,20,0.6,2,0.4,,
42,18,0.4,14,0.6,,
43,19.5,0.4,13,0.6,,
44,21,0.4,12,0.6,,
45,24,0.4,10,0.6,,
46,30,0.4,6,0.6,,
47,20,1,0,0,,
48,20,0.97,0,0.03,,
49,20,0.67,0,0.33,,
50,20,0.37,0,0.63,,
51,20,0.07,0,0.93,,
52,22.5,1,0,0,,
53,22.5,0.99,0,0.01,,
54,22.5,0.95,0,0.05,,
55,22.5,0.75,0,0.25,,
56,22.5,0.25,0,0.75,,
57,22.5,0.05,0,0.95,,
58,30,0.8,0,0.2,,
59,30,0.76,0,0.24,,
60,30,0.6,0,0.4,,
61,30,0.2,0,0.8,,
62,30,0.04,0,0.96,,
63,24,0.05,0,0.02,20,0.93
64,24,0.05,0,0.05,20,0.9
65,24,0.05,0,0.35,20,0.6
66,24,0.05,0,0.65,20,0.3
67,24,0.05,0,0.95,20,0
68,20,0,0,0,10,1
69,20,0.08,0,0.02,10,0.9
70,20,0.2,0,0.05,10,0.75
71,20,0.6,0,0.15,10,0.25
72,20,0.8,0,0.2,10,0
