Proposed Amount of Money,I'm sure I prefer Option A,I think I prefer Option A but I'm not sure,I'm indifferent between Option A and Option B,I think I prefer Option B but I'm not sure,I'm sure I prefer Option B
For £30.00,,,,,
For £29.00,,,,,
For £29.00,,,,,
For £28.50,,,,,
For £28.00,,,,,
For £27.50,,,,,
For £27.00,,,,,
For £26.50,,,,,
For £26.00,,,,,
For £25.50,,,,,
For £25.00,,,,,
For £24.50,,,,,
For £24.00,,,,,
For £23.50,,,,,
For £23.00,,,,,
For £22.50,,,,,
For £22.00,,,,,
For £21.50,,,,,
For £21.00,,,,,
For £20.50,,,,,
For £20.00,,,,,
For £19.50,,,,,
For £19.00,,,,,
For £18.50,,,,,
For £18.00,,,,,
For £17.50,,,,,
For £17.00,,,,,
For £16.50,,,,,
For £16.00,,,,,
For £15.50,,,,,
For £15.00,,,,,
